Course,Section,Instructor,Title,Top Slate,Watermark,Watermark Position,Source URL
COMM 365,102,Dr. Yanwen Wang,Lecture 1 - Introduction to Market Research,sauder_slate.mp4,ubc-sauder.png,R,https://ubc.ca.panopto.com/Panopto/Pages/Viewer.aspx?id=d5723fe0-4291-47e6-a4bc-ac310144d154
COMM 362,102,Cluny South,Class 1 - 9th Sept - Introductions,sauder_slate.mp4,ubc-sauder.png,R,https://ubc.ca.panopto.com/Panopto/Pages/Viewer.aspx?id=35727391-5493-461d-bc2a-ac32001fac4b
COMM 365,103,Dr. Yanwen Wang,Lecture 1 - Introduction to Market Research,sauder_slate.mp4,ubc-sauder.png,R,https://ubc.ca.panopto.com/Panopto/Pages/Viewer.aspx?id=89ec2956-abc2-40b8-bb6c-ac32003a8e0e
